Issue Number;Title;State;Created At;Updated At;URL;comments;body
1761;Constant buffering every 2-3 seconds.;open;2022-08-11T03:33:44Z;2022-11-08T07:31:51Z;https://github.com/yuliskov/SmartTubeNext/issues/1761;88;"SmartTube 15.62

Android 10, Onn4k tv streaming box.

Connection is great yet, All of a sudden I am getting buffering every 2-3 seconds making the app unusable. 
Changing buffer in playback settings (low, medium, high) yields no result at all.    "
259;2160p60 playback after ExoPlayer 2.12.1 update;open;2020-12-14T10:38:05Z;2021-11-15T13:43:05Z;https://github.com/yuliskov/SmartTubeNext/issues/259;78;"@yuliskov 

I now tried 2160p60 playback on a BRAVIA ATV2 (MediaTek MT5891 @ 1GHz) with STubeNext 10.54 with the updated ExoPlayer 2.12.1. Looks much better now, similar to the original YouTube app. There is some minor micro-stuttering every few seconds left.

I wonder which [MediaCodec mode](https://medium.com/google-exoplayer/improved-rendering-performance-operating-mediacodec-in-asynchronous-mode-and-asynchronous-buffer-3026207850b2) ExoPlayer operates in. I don't see one being explicitly set by STubeNext. So I assume it operates in `OPERATION_MODE_SYNCHRONOUS`? How about [Tunneled playback mode](https://medium.com/google-exoplayer/tunneled-video-playback-in-exoplayer-84f084a8094d)?"
1762;buffering like hell;open;2022-08-11T19:05:09Z;2022-08-22T06:09:57Z;https://github.com/yuliskov/SmartTubeNext/issues/1762;48;"i know a lot of users have raised this issue but I'm here to emphasize it , video playback is just unbearable the buffering issue just drives you mad. are you ever going to do something about it !!
i have downloaded both stable and betta both have the same problem . i know it's not my internet connection or my streaming device issue ."
658;Lots of buffer breaks ;closed;2021-06-05T21:55:36Z;2021-08-10T22:45:01Z;https://github.com/yuliskov/SmartTubeNext/issues/658;45;"I usually use SmartTubeTv and I noticed the video buffering works not so good in SmartTubeNext. 

Most Videos are stuttering with the default setting. Increasing the buffer helps. 

I did not need to adjust any buffer settings in SmartTubeTv to watch videos without any buffer breaks. 

Running on:
Firetv Stick 4k, version 11.28"
2271;Video Source isn't working or incorrect time;open;2023-03-01T14:39:01Z;2023-07-30T19:11:43Z;https://github.com/yuliskov/SmartTubeNext/issues/2271;44;Just updated to 17.23 Beta, and getting a lot of Vidoe Source isn't working or incorrect time errors. The screen goes black for a few seconds, then continues to play.
1764;Buffering;open;2022-08-11T21:21:33Z;2022-08-19T09:15:30Z;https://github.com/yuliskov/SmartTubeNext/issues/1764;43;Just updated buffering every 2 seconds. No other steaming service has an issue and a speed  test is fine . Firestick 4k 
1661;Constantly Buffering/Loading Issues;open;2022-07-01T18:06:41Z;2023-02-20T05:50:10Z;https://github.com/yuliskov/SmartTubeNext/issues/1661;42;"Hi,

Ever since the past few updates I've been having constant buffering/loading issues. It will buffer and then resume a number of times when watching a video.

Sometimes the buffering/loading is longer and shows an error that says  ""Video source isn't working or correct time."" It then resumes and plays for a bit and then buffers again.

I've tried restarting my device but that didn't fix it.

Anyone else having this issue?"
1215;how to use youtube kids on Smart youtube;open;2022-01-11T05:26:40Z;2023-04-14T05:07:13Z;https://github.com/yuliskov/SmartTubeNext/issues/1215;35;I use two accounts on my smart tv how to set youtube kids on the second account?
11;[Feature Request] Sponsorblock integration;closed;2020-10-16T20:21:39Z;2021-02-05T07:55:31Z;https://github.com/yuliskov/SmartTubeNext/issues/11;32;"I think it would be a good idea to have Sponsorblock integration added to SmartTubeNext because it would improve the user experience by blocking ads that can't be blocked by adblockers. Other YouTube clients like YouTube Vanced and NewPipe also have Sponsorblock support. Unfortunately there aren't any Android TV YouTube clients with Sponsorblock support which is a shame because unlike on mobile skipping portions of videos on Android TV is tedious due to the limited controls.
Bellow are some links to some information on Sponsorblock that might be useful.

Sponsorblock Resources

[Sponsorblock Source](https://github.com/ajayyy/SponsorBlock)

[YTVanced Version](https://github.com/YTVanced/SponsorBlock) "
676;Videos stopped loading today;closed;2021-06-17T22:08:08Z;2023-08-30T20:06:09Z;https://github.com/yuliskov/SmartTubeNext/issues/676;31;"**EDIT: Update SmartTubeNext v11.37 was pushed out with a fix, and videos are loading again**


No video loads anymore as of the last hour. When trying to load videos it only displays ""..."" for the title and playing time is 0:00

I am getting the same results in a FireTV Cube 2nd gen with SmartTubeNext 11.33, and MiBoxS with SmartTubeNext 11.22.

I'm guessing that YouTube/Google either changed something in their end or are blocking SmartTubeNext? YouTube Vanced is still working.

EDIT: Update SmartTubeNext v11.37 was pushed out with a fix, and videos are loading again

"
